/* DATA DESCRIPTION:
Citation:	Hodell, David A; Charles, Christopher D; Curtis, Jason H; Mortyn, P Graham; Ninnemann, Ulysses S; Venz, Kathryn A (2003): (Table T2) Stable oxygen and carbon isotope ratios of the benthic and planktonic foraminifera, carbonate content, and percent fragmentation of planktonic foraminifers for ODP Site 177-1089 in the Southern Ocean [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.218128, 
	In supplement to: Hodell, DA et al. (2003): Data Report: Oxygen isotope stratigraphy of ODP Leg 117 sites 1088, 1089, 1090, 1093, and 1094. In: Gersonde, R; Hodell, DA; Blum, P (eds.) Proceedings of the Ocean Drilling Program, Scientific Results, College Station, TX (Ocean Drilling Program), 177, 1-26, https://doi.org/10.2973/odp.proc.sr.177.120.2003
Project(s):	Ocean Drilling Program (ODP) (URI: https://www-odp.tamu.edu:443/)
Coverage:	LATITUDE: -40.936333 * LONGITUDE: 9.893983
	DATE/TIME START: 1997-12-19T00:00:00 * DATE/TIME END: 1997-12-19T00:00:00
	MINIMUM DEPTH, sediment/rock: -0.19 m * MAXIMUM DEPTH, sediment/rock: 94.94 m
Event(s):	177-1089 * LATITUDE: -40.936333 * LONGITUDE: 9.893983 * DATE/TIME: 1997-12-19T00:00:00 * ELEVATION: -4620.5 m * PENETRATION: 793.6 m * RECOVERY: 675.9 m * LOCATION: South Atlantic Ocean * CAMPAIGN: Leg177 * BASIS: Joides Resolution (URI: https://www-odp.tamu.edu:443/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 86 cores; 791.6 m cored; 2 m drilled; 85.4% recovery
Comment:	Depth is modified composite depth (mcd). Stable isotope analyses were conducted at the University of Florida (UF) Hole C, and Scripps Institution of Oceanography (SIO) Hole A and B. Carbonate contenet and fragmentation determined at the Unifersity of Florida (UF).
Parameter(s):	DEPTH, sediment/rock [m] (Depth sed) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Sample code/label (Sample label) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Globigerina bulloides, δ18O [‰ PDB] (G. bulloides δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Globigerina bulloides, δ13C [‰ PDB] (G. bulloides δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ18O [‰ PDB] (Cibicidoides spp. δ18O) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Cibicidoides spp., δ13C [‰ PDB] (Cibicidoides spp. δ13C) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Mass spectrometer, Finnigan, MAT 252
	Calcium carbonate [%] (CaCO3) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk) * METHOD/DEVICE: Coulometric titration (Knap et al., 1996, IOC Manuals and Guides 29, UNESCO) (URI: hdl:10013/epic.27912.d001)
	Foraminifera, planktic, fragments [%] (Foram plankt fragm) * PI: Hodell, David A (https://orcid.org/0000-0001-8537-1588, dah73@cam.ac.uk)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	9893 data points
*/
Depth sed [m]	Age [ka BP]	Sample label	G. bulloides δ18O [‰ PDB]	G. bulloides δ13C [‰ PDB]	Cibicidoides spp. δ18O [‰ PDB]	Cibicidoides spp. δ13C [‰ PDB]	CaCO3 [%]	Foram plankt fragm [%]
81.68	510.72	177-1089C-9-4,120-122	2.47	0.25	3.52	0.05	29.0	
81.73	511.08	177-1089C-9-4,125-127	2.47	0.38	3.64	0.65	32.7	
81.78	511.44	177-1089C-9-4,130-132			3.61	-0.02	32.8	
81.83	511.80	177-1089C-9-4,135-137			3.62	0.05	33.3	
81.88	512.16	177-1089C-9-4,140-142			3.54	-0.35	35.6	
81.93	512.52	177-1089C-9-4,145-147			3.54	0.07	34.8	
81.98	512.88	177-1089C-9-5,0-1.5	2.26	-0.04	3.55	0.09	37.5	
82.03	513.24	177-1089C-9-5,5-6.5	2.69	0.36	3.46	-0.07	36.4	
82.08	513.60	177-1089C-9-5,10-11.5			3.43	0.15	37.8	
82.13	513.96	177-1089C-9-5,15-16.5	2.35	0.63	3.43	-0.16	40.5	
82.18	514.32	177-1089C-9-5,20-21.5			3.43	-0.16	39.4	
82.23	514.68	177-1089C-9-5,25-26.5	2.21	0.88	3.44	0.11	43.3	
82.28	515.04	177-1089C-9-5,30-31.5	2.53	0.06	3.56	-0.12	41.3	
82.33	515.40	177-1089C-9-5,35-36.5	2.14	0.47	3.42	0.12	47.2	
82.38	515.76	177-1089C-9-5,40-41.5	2.10	0.68	3.44	0.51	50.7	
82.43	516.12	177-1089C-9-5,45-46.5	2.54	0.39	3.30	0.11	45.0	
82.48	516.48	177-1089C-9-5,50-51.5	2.22	0.04	3.39	0.23	47.5	
82.53	516.84	177-1089C-9-5,55-56.5	2.14	-0.12	3.42	0.24	48.3	
82.58	517.20	177-1089C-9-5,60-61.5			3.41	0.32	48.8	
82.63	517.56	177-1089C-9-5,65-66.5	2.33	-0.02	3.33	0.21	50.6	
82.68	517.92	177-1089C-9-5,70-71.5	2.01	0.14	3.42	0.13	53.8	
82.73	518.28	177-1089C-9-5,75-76.5	2.61	0.96			51.1	
82.78	518.64	177-1089C-9-5,80-81.5	2.60	0.90	3.38	-0.21	49.8	
82.83	519.00	177-1089C-9-5,85-86.5	2.55	0.52	3.32	-0.05	48.3	
82.88	519.36	177-1089C-9-5,90-91.5	2.13	0.69			53.8	
82.93	519.72	177-1089C-9-5,95-96.5	2.34	0.23	3.28	-0.14	51.7	
82.98	520.08	177-1089C-9-5,100-102			3.31	-0.19		
83.03	520.44	177-1089C-9-5,105-107			3.34	-0.55		
83.18	521.52	177-1089C-9-5,120-122					54.2	
83.23	521.88	177-1089C-9-5,125-127	2.14	0.15			50.7	
83.28	522.24	177-1089C-9-5,130-132	2.41	0.80	3.27	-0.33	51.2	
83.33	522.60	177-1089C-9-5,135-137	2.52	0.38	3.21	-0.46	48.9	
83.38	522.96	177-1089C-9-5,140-142	2.38	0.34	3.48	-0.79	50.6	
83.43	523.32	177-1089C-9-5,145-147	2.68	0.71	3.40	-0.49	57.4	
83.87	526.48	177-1089B-9-2,99-102			3.35	-0.35	62.1	
83.92	526.84	177-1089B-9-2,105-107	2.74	0.42	3.34	-0.10	62.6	
83.97	527.20	177-1089B-9-2,110-112	2.72	0.10	3.45	-0.15	60.3	
84.02	527.56	177-1089B-9-2,115-117	2.74	0.34	3.48	-0.32	57.3	
84.07	527.92	177-1089B-9-2,120-122	2.67	0.25	3.57	-0.53	55.0	
84.12	528.28	177-1089B-9-2,125-127			3.49	-0.69	50.1	
84.17	528.64	177-1089B-9-2,130-132	2.62	0.49	3.41	-0.92	44.4	
84.22	529.00	177-1089B-9-2,135-137	2.48	0.02	3.49	-0.74	38.6	
84.27	529.36	177-1089B-9-2,140-142	2.41	-0.61	3.70	-1.14	40.0	
84.32	529.72	177-1089B-9-2,145-147	2.38	-0.74	3.68	-1.37	35.2	
84.37	530.08	177-1089B-9-3,0-1.5	2.44	-0.92	3.68	-1.17	30.3	
84.42	530.44	177-1089B-9-3,5-6.5	2.36	-0.60	3.71	-0.97	32.8	
84.47	530.80	177-1089B-9-3,10-11.5	2.54	-0.49	3.75	-1.11	34.0	
84.52	531.16	177-1089B-9-3,15-16.5	2.45	-0.42	3.77	-1.59	31.5	
84.57	531.52	177-1089B-9-3,20-21.5	2.56	-0.40	3.83	-1.27	32.4	
84.62	531.88	177-1089B-9-3,25-26.5	2.63	-0.28	3.80	-0.65	36.1	
84.67	532.24	177-1089B-9-3,30-31.5	2.55	-0.83	3.93	-1.25	29.6	
84.72	532.60	177-1089B-9-3,35-36.5	2.71	-0.63	3.91	-0.57	24.4	
84.77	532.96	177-1089B-9-3,39-41.5	2.65	-0.56	3.80	-1.04	23.6	
84.82	533.32	177-1089B-9-3,45-46.5	2.55	-0.45	3.72	-1.31	27.9	
84.87	533.68	177-1089B-9-3,50-51.5	2.48	-0.54	3.89	-1.58	29.8	
84.92	534.04	177-1089B-9-3,55-56.5	2.53	-0.45	3.82	-1.54	32.4	
84.97	534.40	177-1089B-9-3,60-61.5	2.46	-0.58	3.87	-1.57	30.8	
85.02	534.76	177-1089B-9-3,65-66.5	2.60	-0.33	3.80	-1.45	35.3	
85.07	535.12	177-1089B-9-3,70-71.5	2.61	-0.70	3.72	-1.33	40.2	
85.12	535.48	177-1089B-9-3,75-77.5	2.56	-0.82	3.82	-1.18	45.5	
85.17	535.84	177-1089B-9-3,79-81.5	2.47	-0.49	3.83	-1.16	43.1	
85.22	536.20	177-1089B-9-3,85-86.5	2.56	-0.41	3.81	-0.78	45.1	
85.27	536.56	177-1089B-9-3,90-91.5	2.43	-0.67	3.78	-1.16	44.8	
85.32	536.92	177-1089B-9-3,95-96.5	2.55	-0.42	3.78	-1.13	44.0	
85.37	537.28	177-1089B-9-3,99-102	2.46	-0.65	3.75	-0.58	41.7	
85.42	537.64	177-1089B-9-3,105-107	2.33	-0.87	3.80	-1.23	44.9	
85.47	538.00	177-1089B-9-3,110-112	2.48	-0.64	3.76	-1.34	42.8	
85.52	538.31	177-1089B-9-3,115-117	2.60	-0.54	3.78	-1.25	41.2	
85.57	538.62	177-1089B-9-3,120-122	2.66	-0.43	3.78	-1.57	40.0	
85.62	538.93	177-1089B-9-3,125-127	2.60	-0.62	3.84	-0.95	38.3	
85.67	539.24	177-1089B-9-3,130-132	2.44	-0.66	3.86	-0.59	38.7	
85.72	539.56	177-1089B-9-3,135-137	2.29	-0.67	3.83	-1.06	38.1	
85.77	539.87	177-1089B-9-3,140-142	2.27	-0.70	3.77	-0.90	32.0	
85.82	540.18	177-1089B-9-3,145-147	2.31	-0.68	3.73	-1.57	32.0	
85.87	540.49	177-1089B-9-4,0-1.5	2.60	-0.64	3.79	-1.24	21.7	
85.92	540.80	177-1089B-9-4,5-6.5	2.26	-0.65	3.79	-1.06	11.8	
85.97	541.11	177-1089B-9-4,10-11.5	2.37	-0.45	3.74	-1.51	7.8	
86.02	541.42	177-1089B-9-4,15-16.5	2.30	-0.53	3.80	-1.38	11.0	
86.07	541.73	177-1089B-9-4,20-21.5	2.59	-0.47	3.75	-1.18	19.6	
86.12	542.04	177-1089B-9-4,25-26.5	2.54	-0.54	3.79	-1.39	19.4	
86.17	542.36	177-1089B-9-4,30-31.5	2.90	-0.41	3.78	-1.11	14.2	
86.22	542.67	177-1089B-9-4,35-36.5			3.71	-1.17	12.9	
86.27	542.98	177-1089B-9-4,39-41.5	2.66	-0.57	3.75	-1.18	14.0	
86.32	543.29	177-1089B-9-4,45-46.5	2.35	-0.65	3.73	-1.29	11.9	
86.37	543.60	177-1089B-9-4,50-51.5	2.47	-0.53	3.71	-0.45	11.2	
86.42	543.91	177-1089B-9-4,55-56.5	2.82	-0.06	3.77	-0.88	8.3	
86.47	544.22	177-1089B-9-4,60-61.5	2.42	-0.56	3.70	-1.17	10.2	
86.52	544.53	177-1089B-9-4,65-66.5	2.52	-0.30	3.70	-0.91	10.6	
86.57	544.84	177-1089B-9-4,69-71.5			3.68	-0.85	11.3	
86.62	545.16	177-1089B-9-4,75-77.5	2.28	-0.85	3.58	-0.76	12.3	
86.67	545.47	177-1089B-9-4,80-81.5	2.40	-0.30	3.63	-1.09	12.7	
86.72	545.78	177-1089B-9-4,85-86.5	2.57	-0.61	3.60	-0.98	12.4	
86.77	546.09	177-1089B-9-4,90-91.5	2.56	-0.28	3.72	-0.72	11.0	
86.82	546.40	177-1089B-9-4,95-96.5	2.40	-0.13	3.63	-0.85	10.3	
86.87	546.71	177-1089B-9-4,99-102			3.57	-0.90	10.6	
86.92	547.02	177-1089B-9-4,105-107	2.46	-0.37	3.59	-0.98	9.2	
86.97	547.33	177-1089B-9-4,110-112	2.69	0.14	3.81	-0.74	6.1	
87.02	547.64	177-1089B-9-4,115-117			3.50	-0.56	8.4	
87.07	547.96	177-1089B-9-4,120-122	2.38	-0.40	3.59	-0.64	5.4	
87.12	548.27	177-1089B-9-4,125-127	1.99	-0.45	3.56	-1.02	5.6	
87.17	548.58	177-1089B-9-4,130-132			3.78	-0.73	2.9	
87.22	548.89	177-1089B-9-4,135-137			3.68	-1.20	6.2	
87.27	549.20	177-1089B-9-4,140-142			3.52	-0.34	2.5	
87.32	549.51	177-1089B-9-4,145-147			3.50	-0.96	2.8	
87.37	549.82	177-1089B-9-5,0-1.5	2.33	-0.01	3.43	-0.93	9.6	
87.42	550.13	177-1089B-9-5,5-6.5	2.31	-0.33	3.55	-0.45	13.4	
87.47	550.44	177-1089B-9-5,10-11.5	2.39	-0.14	3.34	-0.61	17.7	
87.52	550.76	177-1089B-9-5,15-16.5			3.37	-0.52	11.0	
87.57	551.07	177-1089B-9-5,20-21.5			3.35	-0.55	4.1	
87.62	551.38	177-1089B-9-5,25-26.5	2.26	0.01	3.50	-0.87	0.9	
87.67	551.69	177-1089B-9-5,30-31.5	2.00	-0.39			5.2	
87.72	552.00	177-1089B-9-5,35-36.5	2.23	-0.45	3.40	-1.13	8.5	
87.77	552.59	177-1089B-9-5,40-41.5	2.17	-0.30	3.34	-0.45	7.9	
87.82	553.19	177-1089B-9-5,45-46.5	2.23	-0.20	3.43	-0.24	13.7	
87.87	553.78	177-1089B-9-5,50-51.5	2.31	-0.02	3.31	0.27	17.8	
87.92	554.38	177-1089B-9-5,55-56.5	2.41	0.11	3.22	-0.09	19.3	
87.97	554.97	177-1089B-9-5,60-61.5			3.23	-0.16	19.4	
88.02	555.57	177-1089B-9-5,65-66.5			3.21	-0.03	13.7	
88.07	556.16	177-1089B-9-5,70-71.5			3.19	-0.28	9.1	
88.12	556.76	177-1089B-9-5,75-77.5			3.36	-0.07	6.0	
88.17	557.35	177-1089B-9-5,80-81.5					0.0	
88.22	557.95	177-1089B-9-5,85-86.5					0.3	
88.27	558.54	177-1089B-9-5,90-91.5					0.3	
88.32	559.14	177-1089B-9-5,95-96.5					0.0	
88.37	559.73	177-1089B-9-5,99-102					0.0	
88.42	560.32	177-1089B-9-5,105-107					0.4	
88.47	560.92	177-1089B-9-5,110-112					0.4	
88.52	561.51	177-1089B-9-5,115-117					0.3	
88.57	562.11	177-1089B-9-5,120-122			3.37	0.11	1.3	
88.62	562.70	177-1089B-9-5,125-127			3.42	0.47	0.3	
88.67	563.30	177-1089B-9-5,130-132					0.3	
88.72	563.89	177-1089B-9-5,135-137					0.3	
88.77	564.49	177-1089B-9-5,140-142					0.0	
88.82	565.08	177-1089B-9-5,145-147					0.0	
88.87	565.68	177-1089B-9-6,0-1.5					0.0	
88.92	566.27	177-1089B-9-6,5-6.5					0.2	
88.97	566.86	177-1089B-9-6,10-11.5					0.3	
89.02	567.46	177-1089B-9-6,15-16.5					1.0	
89.07	568.05	177-1089B-9-6,20-21.5			2.94	0.16	1.5	
89.12	568.65	177-1089B-9-6,25-26.5			2.84	0.12	5.1	
89.17	569.24	177-1089B-9-6,30-31.5			3.03	-0.23	4.6	
89.22	569.84	177-1089B-9-6,35-36.5			2.82	0.19	7.1	
89.27	570.43	177-1089B-9-6,40-41.5			2.83	-0.17	8.4	
89.32	571.03	177-1089B-9-6,45-46.5			2.94	-0.09	10.1	
89.37	571.62	177-1089B-9-6,50-56.5					14.1	
89.42	572.22	177-1089B-9-6,55-56.5					13.3	
89.47	572.81	177-1089B-9-6,60-61.5			2.73	-0.13	14.7	
89.52	573.41	177-1089B-9-6,65-66.5			2.74	-0.18	16.3	
89.57	574.00	177-1089B-9-6,70-71.5					18.8	
89.64	575.91	177-1089C-10-2,55-56.5			3.24	0.23	16.0	
89.69	577.27	177-1089C-10-2,60-61.5			3.25	-0.68	12.5	
89.74	578.64	177-1089C-10-2,65-66.5			3.20	-0.35	11.3	
89.79	580.00	177-1089C-10-2,70-71.5			3.48	-0.31	9.8	
89.84	580.29	177-1089C-10-2,75-76.5			3.10	-0.29	11.3	
89.89	580.58	177-1089C-10-2,80-81.5			3.47	-0.10	3.1	
89.94	580.87	177-1089C-10-2,85-86.5					0.4	
89.99	581.17	177-1089C-10-2,90-91.5					1.1	
90.04	581.46	177-1089C-10-2,95-96.5					0.8	
90.09	581.75	177-1089C-10-2,100-102					0.4	
90.14	582.04	177-1089C-10-2,105-107					0.4	
90.19	582.33	177-1089C-10-2,110-112					0.4	
90.24	582.62	177-1089C-10-2,115-117					0.5	
90.29	582.92	177-1089C-10-2,120-122					0.8	
90.34	583.21	177-1089C-10-2,125-127					0.7	
90.39	583.50	177-1089C-10-2,130-132					0.4	
90.44	583.79	177-1089C-10-2,135-137					0.5	
90.49	584.08	177-1089C-10-2,140-142					0.9	
90.54	584.37	177-1089C-10-2,145-147					1.0	
90.59	584.67	177-1089C-10-2,149-150					1.2	
90.64	584.96	177-1089C-10-3,5-6.5					7.8	
90.67	585.13	177-1089C-10-3,8-9.5					0.8	
90.69	585.25	177-1089C-10-3,10-12					0.0	
90.74	585.54	177-1089C-10-3,15-17					0.0	
90.79	585.83	177-1089C-10-3,20-22					0.0	
90.84	586.12	177-1089C-10-3,25-27					0.0	
90.89	586.42	177-1089C-10-3,30-32					0.0	
90.94	586.71	177-1089C-10-3,35-37			3.08	-0.32	0.0	
90.99	587.00	177-1089C-10-3,40-42					0.0	
91.04	587.29	177-1089C-10-3,45-47					0.0	
91.09	587.58	177-1089C-10-3,50-52					0.0	
91.14	587.88	177-1089C-10-3,55-57					0.0	
91.19	588.17	177-1089C-10-3,60-62					0.0	
91.24	588.46	177-1089C-10-3,65-67					0.0	
91.29	588.75	177-1089C-10-3,70-72					0.3	
91.34	589.04	177-1089C-10-3,75-77					0.3	
91.39	589.33	177-1089C-10-3,80-82					0.9	
91.44	589.63	177-1089C-10-3,85-87					0.0	
91.49	589.92	177-1089C-10-3,90-92					0.0	
91.54	590.21	177-1089C-10-3,95-97					0.0	
91.59	590.50	177-1089C-10-3,100-102			3.38	-0.36	0.2	
91.64	590.79	177-1089C-10-3,105-107					1.4	
91.69	591.08	177-1089C-10-3,110-112			3.00	-0.09	1.8	
91.74	591.38	177-1089C-10-3,115-117					2.6	
91.79	591.67	177-1089C-10-3,120-122			3.10	-0.09	2.6	
91.84	591.96	177-1089C-10-3,125-127			2.79	0.08	8.9	
91.89	592.25	177-1089C-10-3,130-132			2.85	-0.19	9.3	
91.94	592.54	177-1089C-10-3,135-137			2.93	-0.31	7.8	
91.99	592.83	177-1089C-10-3,140-142			2.82	-0.50	8.1	
92.04	593.13	177-1089C-10-3,145-147			2.81	0.26	13.6	
92.09	593.42	177-1089C-10-4,0-0					22.6	
92.14	593.71	177-1089C-10-4,5-7			2.64	-0.38	22.2	
92.19	594.00	177-1089C-10-4,10-12			2.72	-0.27	21.3	
92.24	594.40	177-1089C-10-4,15-17			2.60	-0.39	22.1	
92.29	594.80	177-1089C-10-4,20-22					21.7	
92.34	595.20	177-1089C-10-4,25-27			2.56	-1.15	21.8	
92.39	595.60	177-1089C-10-4,30-32					21.6	
92.44	596.00	177-1089C-10-4,35-37			2.74	0.02	21.8	
92.49	596.40	177-1089C-10-4,40-42			3.30	-0.82	11.8	
92.54	596.80	177-1089C-10-4,45-47			2.93	-0.38	10.6	
92.59	597.20	177-1089C-10-4,50-52			3.17	-1.16	12.1	
92.64	597.60	177-1089C-10-4,55-57					22.2	
92.69	598.00	177-1089C-10-4,60-62			2.74	-0.32	18.9	
92.74	598.40	177-1089C-10-4,65-67			2.80	-0.31	13.9	
92.79	598.80	177-1089C-10-4,70-72			3.21	-1.07	11.9	
92.84	599.20	177-1089C-10-4,75-77			2.72	-0.11	10.1	
92.89	599.60	177-1089C-10-4,80-82			3.41	-0.91	10.2	
92.94	600.00	177-1089C-10-4,85-87			3.58	-0.80	9.1	
92.99	600.40	177-1089C-10-4,90-92					11.2	
93.04	600.80	177-1089C-10-4,95-97			3.60	-0.45	11.4	
93.09	601.20	177-1089C-10-4,100-102			3.54	-0.73	8.6	
93.14	601.60	177-1089C-10-4,105-107			3.56	-0.65	8.3	
93.19	602.00	177-1089C-10-4,110-112			3.53	-0.12	4.7	
93.24	602.40	177-1089C-10-4,115-117			3.54	-0.70	6.9	
93.29	602.80	177-1089C-10-4,120-122			3.48	-0.31	5.4	
93.34	603.20	177-1089C-10-4,125-127			3.69	-0.58	7.6	
93.39	603.60	177-1089C-10-4,130-132					6.5	
93.44	604.00	177-1089C-10-4,135-137			3.58	-0.99	6.1	
93.49	604.36	177-1089C-10-4,140-142					8.8	
93.54	604.71	177-1089C-10-4,145-147			3.50	-0.83	14.5	
93.59	605.07	177-1089C-10-5,0-2			3.53	-0.43	19.5	
93.64	605.43	177-1089C-10-5,5-7			3.52	0.06	16.1	
93.69	605.79	177-1089C-10-5,10-12			3.39	-0.78	15.3	
93.74	606.14	177-1089C-10-5,15-17			3.38	-0.61	16.8	
93.79	606.50	177-1089C-10-5,20-22			3.42	-0.37	17.8	
93.84	606.86	177-1089C-10-5,25-27			3.34	-0.49	18.8	
93.89	607.21	177-1089C-10-5,30-32			3.35	-0.57	16.8	
93.94	607.57	177-1089C-10-5,35-37			3.34	-0.61	17.6	
93.99	607.93	177-1089C-10-5,40-42			3.38	-0.73	16.8	
94.04	608.29	177-1089C-10-5,45-47			3.36	-0.52	17.4	
94.09	608.64	177-1089C-10-5,50-52			3.35	-0.52	17.8	
94.14	609.00	177-1089C-10-5,55-57			3.39	-0.29	15.7	
94.19	609.36	177-1089C-10-5,60-62			3.39	-0.85	18.8	
94.24	609.71	177-1089C-10-5,65-67			3.36	-0.20	17.0	
94.29	610.07	177-1089C-10-5,70-72			3.36	-0.34	15.9	
94.34	610.43	177-1089C-10-5,75-77			3.37	-0.93	16.3	
94.39	610.79	177-1089C-10-5,80-82			3.06	-0.49	15.7	
94.44	611.14	177-1089C-10-5,85-87			3.31	-0.20	16.8	
94.49	611.50	177-1089C-10-5,90-92			3.36	-0.40	15.3	
94.54	611.86	177-1089C-10-5,95-97			3.31	-0.32	17.3	
94.59	612.21	177-1089C-10-5,100-102			3.33	-0.45	17.9	
94.64	612.57	177-1089C-10-5,105-107			3.24	-0.40	17.0	
94.69	612.93	177-1089C-10-5,110-112			3.34	-0.29	17.4	
94.74	613.29	177-1089C-10-5,115-117			3.34	-0.57	19.8	
94.79	613.64	177-1089C-10-5,120-122			3.37	-0.85	5.9	
94.84	614.00	177-1089C-10-5,125-127			3.24	-0.74	9.0	
94.89	614.36	177-1089C-10-5,130-132			3.33	-0.23	13.0	
94.94	614.71	177-1089C-10-5,135-137			3.32	0.05	9.4	
